,distance,times,f_bl,lat,lon,mag,summ
303,0.274535117325843,0.000611194934240202,0.0552375413252006,54.8078,163.3198,5.025,-0.561379253734112
479,0.274367164401224,0.0032776457461632,0.202030631099352,56.1595,163.9419,5.195,-0.558145294452718
1854,0.279709048189702,0.000370637097341212,0.0496752223474511,52.379,159.894,4.855,-0.553288391045448
1092,0.279839727627731,0.0000967,0.0332975656448168,52.307,160.254,5.365,-0.553090540059208
814,0.298597035101631,0.0000105,0.0441798875005409,56.212,164.3444,4.855,-0.524914508771254
1105,0.299058327886512,0.000167692416174583,0.0352733686088413,52.307,160.254,5.365,-0.524243627519387
2448,0.29910073561479,0.000026,0.0355069963494432,53.955,161.474,5.28,-0.524182517092217
2473,0.304707068163428,0.000148837703421758,0.0457650628410605,53.966,161.449,4.855,-0.516117141664568
1016,0.306307669470994,0.00275908409776909,0.165320174413346,52.228,160.257,5.3,-0.511740923646627
2285,0.308419389528428,0.0000217,0.0338732041565345,53.841,161.771,5.4,-0.510858325768586
1690,0.31471040141232,0.0000573,0.0416903605327135,52.273,159.553,5.025,-0.502088884275918
2336,0.320631764660954,0.000286783216585313,0.0457984507654575,54.131,161.882,5.025,-0.493991095159489
2337,0.336100225054011,0.0012339707380076,0.0812364076468807,53.971,161.904,5.3,-0.473343226844217
2467,0.338507086057953,0.0000688,0.0493881698377685,53.872,161.528,4.77,-0.470432203149897
1062,0.34406078599857,0.000305603050569929,0.0420930054662397,52.259,160.378,5.28,-0.463361967592694
2513,0.352869130643051,0.000283801932571089,0.0517793077727497,53.967,161.559,4.855,-0.452384045753829
2414,0.352871049808675,0.0000954,0.0484603413669744,53.965,161.416,4.855,-0.452383883678863
568,0.35385670757941,0.000351943709166956,0.0537520809594106,54.5956,164.1659,4.855,-0.451168206579543
1037,0.357423353430054,0.000272671846046045,0.049652292147305,52.414,160.544,4.94,-0.446815046720972
2479,0.369458109088768,0.000333410044591723,0.0519520807354708,53.85,161.569,4.94,-0.432431089100296
2358,0.37364648153295,0.0000125,0.0259316503416445,53.972,161.909,6.1,-0.427539102755398
2527,0.384015407774118,0.0001373707639091,0.036641527308676,55.281,162.444,5.5,-0.415651090839134
2466,0.397262789166514,0.00012258105629588,0.0516344070616313,53.922,161.804,4.855,-0.400921928294368
2389,0.403134889406804,0.000430089393219902,0.0615675112924852,53.862,161.489,4.77,-0.394541655257172
2659,0.403500512538165,0.0000677,0.0362873984084423,51.544,159.584,5.535,-0.394155878306548
1829,0.405780520315725,0.000641815766364333,0.0580195575451021,52.42,160.157,5.2,-0.391682356582391
2722,0.410560998822302,0.000547557360586877,0.063868887590596,54.083,159.313,4.855,-0.386605885362
2673,0.414976898023579,0.000592680713659357,0.0413899418932643,51.586,159.509,5.9,-0.381955252562693
2660,0.416732733100296,0.00037840648509357,0.051479456745053,51.53,159.701,5.11,-0.380136965054803
2488,0.433661268149351,0.0000709,0.044844303894118,53.922,161.581,5.195,-0.362849328892573
1327,0.438404266950307,0.00240078220868426,0.162076910599988,55.56,154.865,5.025,-0.356740921954962
2521,0.443355447846099,0.0000266,0.0515382890771422,55.378,162.383,4.94,-0.353247948778504
2404,0.451012580939636,0.000347870796913049,0.0617768217413706,53.873,161.742,4.77,-0.345807131951988
2429,0.458432554706148,0.000628239517805157,0.0669063814647537,53.878,161.55,4.94,-0.338699743775366
2494,0.459709005529983,0.000162771919906824,0.049092874639324,53.977,161.421,5.11,-0.337516557065738
2110,0.46749615538936,0.00000313,0.033876107862304,52.132,159.529,5.8,-0.330221956339317
2366,0.468861864803499,0.000791733804016735,0.0773505699204487,53.838,161.556,4.855,-0.328905440374974
1106,0.473649741374265,0.0000924,0.0469856419077972,52.244,160.324,5.195,-0.324542616681174
2497,0.485713747609504,0.000303785678638874,0.0528912663084817,54.53,162.213,5.11,-0.313616799480988
1401,0.49026788251418,0.0040963059189902,0.261647205218929,52.984,159.623,5.1,-0.302690319561794
2716,0.500675218817722,0.0000656,0.0460586444329697,54.103,159.374,5.28,-0.300443875508103
2715,0.509861148185642,0.000356350672778852,0.0503584805665549,54.063,159.36,5.3,-0.29254355338992
1117,0.513989674174639,0.000717882050471311,0.0628635625973392,52.178,160.229,5.28,-0.289008594518256
1711,0.523144356930751,0.000164244223457305,0.0595349069085131,55.11,162.599,4.855,-0.281378011734964
2665,0.534860176485295,0.000198681662602295,0.0448189000667077,51.69,159.199,5.45,-0.271758952105384
1108,0.539846618501604,0.000159655075653049,0.0507370280655868,52.218,160.181,5.195,-0.267729207502943
1045,0.548379969415764,0.0000327,0.0524953078595547,52.354,160.515,5.11,-0.260918413490261
2451,0.559318484999618,0.000175757989595463,0.059014196971685,53.875,161.488,4.94,-0.252340284222874
2419,0.560292835865594,0.000517584329626034,0.0729494980260884,53.927,161.519,4.77,-0.251571059268572
2403,0.569276457570809,0.0000821,0.0612509262766433,54.053,161.476,4.855,-0.244676720631503
1899,0.575455279486024,0.000183558738529748,0.0625902794955452,52.289,160.099,4.855,-0.239987802442297
213,0.572839400798127,0.00331153925671976,0.201210292235441,51.1594,160.9103,5.28,-0.238334134872371
1101,0.579848150573874,0.0000329,0.0494301576737832,52.26,160.22,5.28,-0.236685720110054
1022,0.581291792643825,0.000113806430931101,0.0621216112927312,52.297,160.506,4.855,-0.235605661416896
2535,0.592120962450829,0.000788071273905676,0.0791866076644571,55.325,162.511,4.94,-0.227540600374257
2316,0.600359824032262,0.000201908334121912,0.0641345001640801,53.895,161.579,4.855,-0.221587554913848
570,0.606235896493164,0.000270690702574996,0.0628454147928952,54.5503,164.1975,4.94,-0.217356367486297
215,0.621918402901057,0.0000189,0.0534677001474784,51.1555,160.9504,5.195,-0.206266591314211
2441,0.622799320283368,0.0000108,0.0410759571346,53.792,161.596,5.705,-0.205651869963222
951,0.629926987648474,0.000121314257560793,0.0567293248037323,50.5696,157.2948,5.11,-0.20070960637775
